id,brand,text,golden_intent,predicted_intent,confidence,top_similarity,ground_truth_decision,ground_truth_reason,agent_decision,agent_reason,is_match,case_type
77,AmericanAir,"Wow, just got charged $75 by @AmericanAir for booking an award flight that departs in under 21 days...let that sink in. I have to pay extra to book the flight, with points, by myself, online, which requires no work by them... #fail #FlySouthwest",billing_payment_dispute,flight_travel_disruption,0.3044,0.1943,ESCALATE_HUMAN,Billing discrepancy requiring ledger inspection,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.30) below threshold (0.45),True,TRUE_POSITIVE
78,AmazonHelp,@AmazonHelp I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? https://t.co/SeoQUsA0VA,billing_payment_dispute,subscription_cancellation_refund,0.2392,0.1827,ESCALATE_HUMAN,Financial/Ticketing transactional action required,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.24) below threshold (0.45),True,TRUE_POSITIVE
79,CoxHelp,@116021 Is shady. Was told I would get an alert if we reached the additional 50gb for $10. I didn’t. Was charged $40 more and no alert.,billing_payment_dispute,billing_payment_dispute,0.422,0.1212,ESCALATE_HUMAN,Billing discrepancy requiring ledger inspection,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.42) below threshold (0.45); WEAK_GROUNDING: Top retrieval similarity (0.12) below threshold (0.15),True,TRUE_POSITIVE
80,AskPayPal,@AskPayPal hi PayPal today you have taken what I owed out of my bank and also of my paypal balance you have charged me twice ?,billing_payment_dispute,billing_payment_dispute,0.2181,0.3232,ESCALATE_HUMAN,Billing discrepancy requiring ledger inspection,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.22) below threshold (0.45),True,TRUE_POSITIVE
81,AskeBay,"Change your @115931 password and turn on two-step verification or else you, too, may receive a paypal receipt for a van reversing camera with a random delivery address in Walthamstow.",account_access_security,account_access_security,0.2191,0.102,ESCALATE_HUMAN,Security and account access requires verification,ESCALATE_HUMAN,SECURITY_INTENT: Account access or security compromise requires verification; LOW_CONFIDENCE: Classifier confidence (0.22) below threshold (0.45); WEAK_GROUNDING: Top retrieval similarity (0.10) below threshold (0.15),True,TRUE_POSITIVE
82,Uber_Support,"Yesterday I tweeted this. I decided to tweet the rest of my convo with @115873 Support, since my account has been hacked. https://t.co/NaLNlVU1Gm",account_access_security,account_access_security,0.2875,0.2249,ESCALATE_HUMAN,Security and account access requires verification,ESCALATE_HUMAN,SECURITY_INTENT: Account access or security compromise requires verification; LOW_CONFIDENCE: Classifier confidence (0.29) below threshold (0.45),True,TRUE_POSITIVE
83,hulu_support,@hulu_support Hi! Someone changed my password (hacked). Asked reset link x 3 over an hour ago - no email. Not in junk. What can I do?,account_access_security,account_access_security,0.5219,0.2823,ESCALATE_HUMAN,Security and account access requires verification,ESCALATE_HUMAN,SECURITY_INTENT: Account access or security compromise requires verification,True,TRUE_POSITIVE
84,AskPlayStation,@AskPlayStation hey my psn is not letting me sign in its giving me a error code 80710016 please help,account_access_security,account_access_security,0.4327,0.3652,ESCALATE_HUMAN,Security and account access requires verification,ESCALATE_HUMAN,SECURITY_INTENT: Account access or security compromise requires verification; LOW_CONFIDENCE: Classifier confidence (0.43) below threshold (0.45),True,TRUE_POSITIVE
85,XboxSupport,@XboxSupport Why does my Xbox one keep signing me out it tells me bye Trent sign in with a controller.,account_access_security,account_access_security,0.2186,0.2321,ESCALATE_HUMAN,Security and account access requires verification,ESCALATE_HUMAN,SECURITY_INTENT: Account access or security compromise requires verification; LOW_CONFIDENCE: Classifier confidence (0.22) below threshold (0.45),True,TRUE_POSITIVE
86,AmazonHelp,"@amazonhelp hey on this page https://t.co/QyYak6915Y the ""sign in using alternative factors"" link (which points to https://t.co/KHRDAymgz3) is broken and leads to a 404. which is kinda frustrating as i need to reset my 2FA https://t.co/qkmkfU7Jhj",account_access_security,account_access_security,0.3165,0.2567,ESCALATE_HUMAN,Security and account access requires verification,ESCALATE_HUMAN,SECURITY_INTENT: Account access or security compromise requires verification; LOW_CONFIDENCE: Classifier confidence (0.32) below threshold (0.45),True,TRUE_POSITIVE
87,Ask_WellsFargo,i went to check my bank account after last night and before i could even sign in Wells Fargo was letting me know it's not good. https://t.co/G4VCFDOS73,account_access_security,account_access_security,0.3273,0.3032,ESCALATE_HUMAN,Security and account access requires verification,ESCALATE_HUMAN,SECURITY_INTENT: Account access or security compromise requires verification; LOW_CONFIDENCE: Classifier confidence (0.33) below threshold (0.45),True,TRUE_POSITIVE
88,sprintcare,"@115714 Yeah, I'd 💛 to sign up for whatever crap you sent me the text abt, but your horrific user name/password rules are WAY too limiting.",account_access_security,account_access_security,0.285,0.1718,ESCALATE_HUMAN,Security and account access requires verification,ESCALATE_HUMAN,SECURITY_INTENT: Account access or security compromise requires verification; LOW_CONFIDENCE: Classifier confidence (0.29) below threshold (0.45),True,TRUE_POSITIVE
89,AmazonHelp,@115821 can you check my account as this is the third one of these I've had and last time I actually got hacked!!!,account_access_security,account_access_security,0.2404,0.1641,ESCALATE_HUMAN,Security and account access requires verification,ESCALATE_HUMAN,SECURITY_INTENT: Account access or security compromise requires verification; LOW_CONFIDENCE: Classifier confidence (0.24) below threshold (0.45),True,TRUE_POSITIVE
90,SpotifyCares,@SpotifyCares I can't log into my account as it's saying my password is incorrect but it's the same one I've used for years! I updated my email address but it's saying I don't have an account registered to that address?,account_access_security,account_access_security,0.541,0.2585,ESCALATE_HUMAN,Security and account access requires verification,ESCALATE_HUMAN,SECURITY_INTENT: Account access or security compromise requires verification,True,TRUE_POSITIVE
91,AskPlayStation,@AskPlayStation hi i cant connect to psn i do the internet test everythng goes right but the psn sign in always fail and error code ce339870,account_access_security,account_access_security,0.3243,0.3653,ESCALATE_HUMAN,Security and account access requires verification,ESCALATE_HUMAN,SECURITY_INTENT: Account access or security compromise requires verification; LOW_CONFIDENCE: Classifier confidence (0.32) below threshold (0.45),True,TRUE_POSITIVE
92,AppleSupport,"@applesupport I can't activate my iPhoneX - ""because the activation server is temporarily unavailable"" What's going on?",account_access_security,account_access_security,0.295,0.4769,ESCALATE_HUMAN,Security and account access requires verification,ESCALATE_HUMAN,SECURITY_INTENT: Account access or security compromise requires verification; LOW_CONFIDENCE: Classifier confidence (0.30) below threshold (0.45),True,TRUE_POSITIVE
93,IHGService,"I'm at a @117163 in Arkansas and the wireless is totally unprotected — as in no password, no agreement. Nothing. It's just open, freely accessible wireless. I'm using my phone as a hotspot.",account_access_security,account_access_security,0.2838,0.1212,ESCALATE_HUMAN,Security and account access requires verification,ESCALATE_HUMAN,SECURITY_INTENT: Account access or security compromise requires verification; LOW_CONFIDENCE: Classifier confidence (0.28) below threshold (0.45); WEAK_GROUNDING: Top retrieval similarity (0.12) below threshold (0.15),True,TRUE_POSITIVE
94,AppleSupport,"@AppleSupport Hello, I need some help regarding the region change on my Apple ID",account_access_security,account_access_security,0.228,0.2756,ESCALATE_HUMAN,Security and account access requires verification,ESCALATE_HUMAN,SECURITY_INTENT: Account access or security compromise requires verification; LOW_CONFIDENCE: Classifier confidence (0.23) below threshold (0.45),True,TRUE_POSITIVE
95,TMobileHelp,"Hey @115911 I’ve been on hold for 45+ mins just trying to activate a new phone. No updates from the rep, not sure if I should keep waiting? https://t.co/V5v2zdQcQN",account_access_security,complaint_poor_service,0.3684,0.1801,ESCALATE_HUMAN,Security and account access requires verification,ESCALATE_HUMAN,SEVERE_COMPLAINT: High-risk negative customer experience escalation; LOW_CONFIDENCE: Classifier confidence (0.37) below threshold (0.45),True,TRUE_POSITIVE
96,AmazonHelp,Well I did wanna join @115821 prime but for some dumb ass reason I'm locked out my account waiting for a email nice @115821,account_access_security,account_access_security,0.3003,0.291,ESCALATE_HUMAN,Security and account access requires verification,ESCALATE_HUMAN,SECURITY_INTENT: Account access or security compromise requires verification; LOW_CONFIDENCE: Classifier confidence (0.30) below threshold (0.45),True,TRUE_POSITIVE
97,Tesco,@Tesco why has your website not allowed me to sign in for over 4 hours when I’m trying to purchase something on offer which ends at midnight?! Will this offer be honoured when it eventually works?,account_access_security,account_access_security,0.183,0.1681,ESCALATE_HUMAN,Security and account access requires verification,ESCALATE_HUMAN,SECURITY_INTENT: Account access or security compromise requires verification; LOW_CONFIDENCE: Classifier confidence (0.18) below threshold (0.45),True,TRUE_POSITIVE
98,DropboxSupport,@118189 Hi I no longer have access to the mail I use as login and it says my password has expired...,account_access_security,account_access_security,0.4393,0.0407,ESCALATE_HUMAN,Security and account access requires verification,ESCALATE_HUMAN,SECURITY_INTENT: Account access or security compromise requires verification; LOW_CONFIDENCE: Classifier confidence (0.44) below threshold (0.45); WEAK_GROUNDING: Top retrieval similarity (0.04) below threshold (0.15),True,TRUE_POSITIVE
99,XboxSupport,@XboxSupport changed my password and everything but this keeps happening ? #XboxHelp https://t.co/D966DiyeMv,account_access_security,account_access_security,0.4598,0.2998,ESCALATE_HUMAN,Security and account access requires verification,ESCALATE_HUMAN,SECURITY_INTENT: Account access or security compromise requires verification,True,TRUE_POSITIVE
100,SpotifyCares,I logged out of my @115888 account to try and fix local files not showing on my phone but now I’m locked out because my @188 account is erroring out. 😡 https://t.co/fQf9RL0dpi,account_access_security,account_access_security,0.45,0.2037,ESCALATE_HUMAN,Security and account access requires verification,ESCALATE_HUMAN,SECURITY_INTENT: Account access or security compromise requires verification; LOW_CONFIDENCE: Classifier confidence (0.45) below threshold (0.45),True,TRUE_POSITIVE
101,ATT,@ATT where you pay a lot of money for no internet...,service_outage_connectivity,service_outage_connectivity,0.2424,0.2158,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.24) below threshold (0.45),False,FALSE_POSITIVE
102,sprintcare,@sprintcare is there an outage in the Minneapolis/St. Paul Minnesota area?,service_outage_connectivity,service_outage_connectivity,0.706,0.3053,AUTO_HANDLE,Standard status or troubleshooting guidance,AUTO_HANDLE,High intent confidence (0.71) and strong historical grounding (0.31) for routine 'service_outage_connectivity' without risk triggers.,True,TRUE_NEGATIVE
103,comcastcares,I love how a hardware problem with a @116136 router just cost me three entire days of work. Lot of fun.,service_outage_connectivity,service_outage_connectivity,0.1468,0.1775,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.15) below threshold (0.45),False,FALSE_POSITIVE
104,ATT,Either my phone is on the fritz already or @ATT is having an intermittent outage they're not telling people about 🤔,service_outage_connectivity,service_outage_connectivity,0.168,0.1966,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.17) below threshold (0.45),False,FALSE_POSITIVE
105,CoxHelp,@CoxHelp Is there an internet outage currently?,service_outage_connectivity,service_outage_connectivity,0.7853,0.474,AUTO_HANDLE,Standard status or troubleshooting guidance,AUTO_HANDLE,High intent confidence (0.79) and strong historical grounding (0.47) for routine 'service_outage_connectivity' without risk triggers.,True,TRUE_NEGATIVE
106,Ask_Spectrum,@115955 @Ask_Spectrum if there's going to be an outage at least have the decency to send an email...it ALWAYS happens around midnight 🤔,service_outage_connectivity,service_outage_connectivity,0.4312,0.2462,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.43) below threshold (0.45),False,FALSE_POSITIVE
107,O2,"@O2 my getting no signal 3G or neither 4g , thank god my contract is up",service_outage_connectivity,service_outage_connectivity,0.2003,0.2407,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.20) below threshold (0.45),False,FALSE_POSITIVE
108,Ask_Spectrum,"My experience with @115955 every week:

Worst news: No internet connection.

Bad news: Tweets about outage appear in cluttered search results due to brand name. 

Good news: Spotted a lot of positive and encouraging tweets about Autism.",service_outage_connectivity,service_outage_connectivity,0.3334,0.164,ESCALATE_HUMAN,Escalated severity or negative sentiment,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.33) below threshold (0.45),True,TRUE_POSITIVE
109,sprintcare,@626 can we begin an investigation into why @115714 has failed its RI customers during an emergency and power outage?,service_outage_connectivity,service_outage_connectivity,0.2157,0.1595,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.22) below threshold (0.45),False,FALSE_POSITIVE
110,comcastcares,"@comcastcares Internet down, again. 7th time this month, I believe. 95608.",service_outage_connectivity,service_outage_connectivity,0.4467,0.2454,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.45) below threshold (0.45),False,FALSE_POSITIVE
111,TMobileHelp,When @115911 is charging you $200 the month you had no signal...,service_outage_connectivity,service_outage_connectivity,0.192,0.2525,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.19) below threshold (0.45),False,FALSE_POSITIVE
112,ATT,@ATT @117735 any update on the outage in Austin? Is service being restored soon??,service_outage_connectivity,service_outage_connectivity,0.3358,0.2354,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.34) below threshold (0.45),False,FALSE_POSITIVE
113,O2,Once again generic responses from @O2 - still absolutely no signal in Radlett. Avoid using the network at all costs.,service_outage_connectivity,service_outage_connectivity,0.1876,0.2308,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.19) below threshold (0.45),False,FALSE_POSITIVE
114,sprintcare,@sprintcare do you have a outage in the Minneapolis area today,service_outage_connectivity,service_outage_connectivity,0.3322,0.163,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.33) below threshold (0.45),False,FALSE_POSITIVE
115,Ask_Spectrum,@Ask_Spectrum Seriously. You guys need to get your crap together. Internet up and down for days in Texas.,service_outage_connectivity,service_outage_connectivity,0.3654,0.26,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.37) below threshold (0.45),False,FALSE_POSITIVE
116,TMobileHelp,@TMobileHelp Having a bit of an issue with signal in our area. No signal here at all now. Can you advise?,service_outage_connectivity,service_outage_connectivity,0.3134,0.339,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.31) below threshold (0.45),False,FALSE_POSITIVE
117,CoxHelp,@CoxHelp Reactivating previous modem. Stuck in registration mode. On phone for 1hr. No internet!!! Help!!!!,service_outage_connectivity,service_outage_connectivity,0.5433,0.2019,AUTO_HANDLE,Standard status or troubleshooting guidance,AUTO_HANDLE,High intent confidence (0.54) and strong historical grounding (0.20) for routine 'service_outage_connectivity' without risk triggers.,True,TRUE_NEGATIVE
118,O2,@O2 any idea why I have no signal at all today?!,service_outage_connectivity,service_outage_connectivity,0.2319,0.2667,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.23) below threshold (0.45),False,FALSE_POSITIVE
119,comcastcares,@comcastcares is this where I report an outage?,service_outage_connectivity,service_outage_connectivity,0.5389,0.3867,AUTO_HANDLE,Standard status or troubleshooting guidance,AUTO_HANDLE,High intent confidence (0.54) and strong historical grounding (0.39) for routine 'service_outage_connectivity' without risk triggers.,True,TRUE_NEGATIVE
120,CoxHelp,@CoxHelp is there a power internet outage in Santa Barbara. I reset everything and it's still not working?!?! Help,service_outage_connectivity,service_outage_connectivity,0.6399,0.4702,AUTO_HANDLE,Standard status or troubleshooting guidance,AUTO_HANDLE,High intent confidence (0.64) and strong historical grounding (0.47) for routine 'service_outage_connectivity' without risk triggers.,True,TRUE_NEGATIVE
121,SW_Help,"@SW_Help hiya, I bought a ticket that wasn’t valid until 11:16 this morning and as I’m running late had to get another ticket, is it possible to get a refund on the first ticket please?",subscription_cancellation_refund,subscription_cancellation_refund,0.3657,0.238,ESCALATE_HUMAN,Financial/Ticketing transactional action required,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.37) below threshold (0.45),True,TRUE_POSITIVE
122,DropboxSupport,"@DropboxSupport I was just charged a renewal fee, but wasn't notified by email. I need to cancel and have you refund the money. can you help or is there a phone number that I can use?",subscription_cancellation_refund,subscription_cancellation_refund,0.2633,0.1976,ESCALATE_HUMAN,Financial/Ticketing transactional action required,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.26) below threshold (0.45),True,TRUE_POSITIVE
123,Delta,@Delta prices for a flight I booked last month have dropped. Is there any way to get a refund/credit for the difference? Amex card holder.,subscription_cancellation_refund,subscription_cancellation_refund,0.4011,0.1867,ESCALATE_HUMAN,Financial/Ticketing transactional action required,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.40) below threshold (0.45),True,TRUE_POSITIVE
124,SpotifyCares,@SpotifyCares Help. My brother can’t get into his account & doesn’t have that email anymore.. how does he cancel premium??,subscription_cancellation_refund,account_access_security,0.2705,0.1762,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,SECURITY_INTENT: Account access or security compromise requires verification; LOW_CONFIDENCE: Classifier confidence (0.27) below threshold (0.45),False,FALSE_POSITIVE
125,ArgosHelpers,@ArgosHelpers I’ve never been so humiliated as I’ve just been by Gemma manger of silvelink Argos who mistook my deftness as me being loud didn’t like my tone after coming back to return a item. I’m seeing a solicitor tomorrow,subscription_cancellation_refund,billing_payment_dispute,0.1624,0.3025,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.16) below threshold (0.45),False,FALSE_POSITIVE
126,AskTarget,@116062 you sent me an email requesting I confirm new delivery date or you will cancel my order. Link doesn't lead anywhere. I don't want my order cancelled. Please advise. Thanks!,subscription_cancellation_refund,order_delivery_issue,0.2014,0.1369,ESCALATE_HUMAN,Financial/Ticketing transactional action required,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.20) below threshold (0.45); WEAK_GROUNDING: Top retrieval similarity (0.14) below threshold (0.15),True,TRUE_POSITIVE
127,askpanera,@116253 I wasn’t given the fruit cup I ordered online. How can I get a refund for that?,subscription_cancellation_refund,subscription_cancellation_refund,0.4254,0.1724,ESCALATE_HUMAN,Financial/Ticketing transactional action required,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.43) below threshold (0.45),True,TRUE_POSITIVE
128,SpotifyCares,"Had @115888 for 5 years, canceling my subscription. WORST customer service ive ever had. About to get @115948",subscription_cancellation_refund,complaint_poor_service,0.4149,0.2306,ESCALATE_HUMAN,Escalated severity or negative sentiment,ESCALATE_HUMAN,SEVERE_COMPLAINT: High-risk negative customer experience escalation; LOW_CONFIDENCE: Classifier confidence (0.41) below threshold (0.45),True,TRUE_POSITIVE
129,idea_cares,"@116331 Please don't dupe yr customers. Either refund my money or provide the services for which I have already paid.
@116588 @116589 https://t.co/jvWVbHoEcz",subscription_cancellation_refund,subscription_cancellation_refund,0.5311,0.2362,ESCALATE_HUMAN,Financial/Ticketing transactional action required,ESCALATE_HUMAN,ACCOUNT_ACTION_REQUIRED: Direct financial refund request requiring ledger approval,True,TRUE_POSITIVE
130,AskLyft,@AskLyft can I get a refund? I didn’t even get accepted by a driver before I canceled and still got charged $16.,subscription_cancellation_refund,subscription_cancellation_refund,0.3859,0.2458,ESCALATE_HUMAN,Financial/Ticketing transactional action required,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.39) below threshold (0.45),True,TRUE_POSITIVE
131,SpotifyCares,@115888 I DON'T GET PAID TIL NEXT WEEK PLEASE DON'T CANCEL MY PREMIUM PLAN BECAUSE I DON'T GET PAID ENOUGH MUSIC IS THE ONLY THING GETTING ME THROUGH THIS DARK TIME OF POORNESS,subscription_cancellation_refund,subscription_cancellation_refund,0.2253,0.2046,ESCALATE_HUMAN,Financial/Ticketing transactional action required,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.23) below threshold (0.45),True,TRUE_POSITIVE
132,AskPayPal,@115993 How long does it take for a refund to be completed and money to be put onto the debit card the payment was on?,subscription_cancellation_refund,subscription_cancellation_refund,0.2685,0.1989,ESCALATE_HUMAN,Financial/Ticketing transactional action required,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.27) below threshold (0.45),True,TRUE_POSITIVE
133,AskTarget,@116062 what’s the easiest way to get a refund on 3 market pantry pizzas that were expired. My pepperoni was all grey. Dinner was ruined. Must be why it was 25% off on Cartwheel.,subscription_cancellation_refund,subscription_cancellation_refund,0.405,0.1463,ESCALATE_HUMAN,Financial/Ticketing transactional action required,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.40) below threshold (0.45); WEAK_GROUNDING: Top retrieval similarity (0.15) below threshold (0.15),True,TRUE_POSITIVE
134,Uber_Support,@115873 someone has taken my taxi and my account has been charged. Please can I get a refund?,subscription_cancellation_refund,billing_payment_dispute,0.2621,0.2563,ESCALATE_HUMAN,Financial/Ticketing transactional action required,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.26) below threshold (0.45),True,TRUE_POSITIVE
135,VirginTrains,@VirginTrains how do I get a refund on an open return ticket? On the Preston-London train and it's knackered! About two hours late.,subscription_cancellation_refund,subscription_cancellation_refund,0.2864,0.2171,ESCALATE_HUMAN,Financial/Ticketing transactional action required,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.29) below threshold (0.45),True,TRUE_POSITIVE
136,AskPapaJohns,Yo Papa @116076 you're seriously charging $0.25 per packet of crushed red pepper and parm cheese? Refund my money.,subscription_cancellation_refund,subscription_cancellation_refund,0.4003,0.1976,ESCALATE_HUMAN,Financial/Ticketing transactional action required,ESCALATE_HUMAN,ACCOUNT_ACTION_REQUIRED: Direct financial refund request requiring ledger approval; LOW_CONFIDENCE: Classifier confidence (0.40) below threshold (0.45),True,TRUE_POSITIVE
137,GloCare,@GloCare please refund money deducted from my line 09055635732 for no reason,subscription_cancellation_refund,subscription_cancellation_refund,0.4681,0.1838,ESCALATE_HUMAN,Financial/Ticketing transactional action required,AUTO_HANDLE,High intent confidence (0.47) and strong historical grounding (0.18) for routine 'subscription_cancellation_refund' without risk triggers.,False,FALSE_NEGATIVE
138,SouthwestAir,@SouthwestAir how come when you cancel my flight my early bird doesn’t transfer? Do I️ get a refund? Horrible customer service at MCO today,subscription_cancellation_refund,subscription_cancellation_refund,0.3281,0.2072,ESCALATE_HUMAN,Financial/Ticketing transactional action required,ESCALATE_HUMAN,ACCOUNT_ACTION_REQUIRED: Live travel rebooking requiring ticketing authority; LOW_CONFIDENCE: Classifier confidence (0.33) below threshold (0.45),True,TRUE_POSITIVE
139,AmazonHelp,"@AmazonHelp 
I want to cancel my order. Its showing this shit. Can I say fu**off to amazon for this kind of response. https://t.co/nTl7UtpIf8",subscription_cancellation_refund,subscription_cancellation_refund,0.3036,0.2723,ESCALATE_HUMAN,Financial/Ticketing transactional action required,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.30) below threshold (0.45),True,TRUE_POSITIVE
140,Uber_Support,Hey @115877 I didn’t get the NUGGETS I ORDERED I want a refund lol,subscription_cancellation_refund,subscription_cancellation_refund,0.5181,0.3519,ESCALATE_HUMAN,Financial/Ticketing transactional action required,AUTO_HANDLE,High intent confidence (0.52) and strong historical grounding (0.35) for routine 'subscription_cancellation_refund' without risk triggers.,False,FALSE_NEGATIVE
141,AldiUK,@AldiUK when are you getting your chocolate Irish cream liquor in stock?,product_inquiry_availability,product_inquiry_availability,0.4987,0.2535,AUTO_HANDLE,Routine praise or public product inquiry,AUTO_HANDLE,High intent confidence (0.50) and strong historical grounding (0.25) for routine 'product_inquiry_availability' without risk triggers.,True,TRUE_NEGATIVE
142,AldiUK,@AldiUK will you be having any more of the wooden advent calendars in? Out of stock online & tried 3 local stores with no luck ☹️,product_inquiry_availability,product_inquiry_availability,0.3578,0.1788,AUTO_HANDLE,Routine praise or public product inquiry,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.36) below threshold (0.45),False,FALSE_POSITIVE
143,AldiUK,@AldiUK Are you ever getting your Lacura face wipes back in stock? It's been WEEKS 😢,product_inquiry_availability,product_inquiry_availability,0.4628,0.2133,AUTO_HANDLE,Routine praise or public product inquiry,AUTO_HANDLE,High intent confidence (0.46) and strong historical grounding (0.21) for routine 'product_inquiry_availability' without risk triggers.,True,TRUE_NEGATIVE
144,AppleSupport,"@AppleSupport we already have the prices for iPhone X here in Brazil, can you guys give us a release date or at least a window?",product_inquiry_availability,product_inquiry_availability,0.1568,0.1551,AUTO_HANDLE,Routine praise or public product inquiry,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.16) below threshold (0.45),False,FALSE_POSITIVE
145,ArgosHelpers,"@ArgosHelpers Hi, I received a delivery (order number 1219342752) with 2x the same box (549/9025) . Is this possible to send me the other one or that I can collect it at Argos reading forbury ? (looks like they have it in stock) https://t.co/vsnJCSjMri",product_inquiry_availability,product_inquiry_availability,0.2441,0.2232,AUTO_HANDLE,Routine praise or public product inquiry,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.24) below threshold (0.45),False,FALSE_POSITIVE
146,ArgosHelpers,"@ArgosHelpers Tried to order half price MAX robot at weekend and it was out of stock, no pre-order available anywhere. Pre order is suddenly available from ALL stores when the item is back to #fullprice. Please explain. #notfair",product_inquiry_availability,product_inquiry_availability,0.3337,0.1735,AUTO_HANDLE,Routine praise or public product inquiry,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.33) below threshold (0.45),False,FALSE_POSITIVE
147,ArgosHelpers,So disappointed to not receive NFS Payback on release date as promised by @116245 Inaccurate texts promising delivery also unfair!,product_inquiry_availability,order_delivery_issue,0.2401,0.2275,AUTO_HANDLE,Routine praise or public product inquiry,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.24) below threshold (0.45),False,FALSE_POSITIVE
148,AskTarget,What's the point of pre ordering an album if I get it a week later than the release date? @116062,product_inquiry_availability,product_inquiry_availability,0.2161,0.2486,AUTO_HANDLE,Routine praise or public product inquiry,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.22) below threshold (0.45),False,FALSE_POSITIVE
149,AskTarget,"@116062 Cyber Mon epic fail Item avail, unable to purchase due 2 web issues. Store aware. 2 hr hold w CS claimed ""sold out"" & wl email when in stock + call back Tues ""no manager on duty"". No call back or email, item IN STOCK FULL price!!",product_inquiry_availability,product_inquiry_availability,0.406,0.1407,AUTO_HANDLE,Routine praise or public product inquiry,ESCALATE_HUMAN,CRITICAL_KEYWORD: Explicit customer request for human agent; LOW_CONFIDENCE: Classifier confidence (0.41) below threshold (0.45); WEAK_GROUNDING: Top retrieval similarity (0.14) below threshold (0.15),False,FALSE_POSITIVE
150,Tesco,"@Tesco Hi, I bought these (https://t.co/AjBxwsZKuu) candles to use when I proposed to my girlfriend. We're now looking to buy them for our wedding, do you know if they'll come back in stock? Or a store where I can buy them? Thanks",product_inquiry_availability,product_inquiry_availability,0.2991,0.3712,AUTO_HANDLE,Routine praise or public product inquiry,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.30) below threshold (0.45),False,FALSE_POSITIVE
